"Date,Open,High,Low,Close,Adj Close,Volume"
"Apr 25, 2025,1.5700,1.8000,1.2800,1.4800,1.4800,272023049"
"Apr 24, 2025,0.4190,1.1300,0.4160,0.8520,0.8520,287460900"
"Apr 23, 2025,0.4560,0.4850,0.4120,0.4260,0.4260,1944000"
"Apr 22, 2025,0.4050,0.4980,0.3900,0.4570,0.4570,3322500"
"Apr 21, 2025,0.5500,0.6090,0.4000,0.4200,0.4200,8340400"
"Apr 17, 2025,0.6200,0.6380,0.5330,0.5580,0.5580,13414900"
"Apr 16, 2025,0.5130,0.7980,0.4770,0.6870,0.6870,244462900"
"Apr 15, 2025,0.4100,0.4560,0.4100,0.4220,0.4220,5449800"
"Apr 14, 2025,0.4000,0.4240,0.3700,0.3970,0.3970,1146700"
"Apr 11, 2025,0.3230,0.3600,0.2800,0.3600,0.3600,650400"
"Apr 10, 2025,0.3300,0.3370,0.3000,0.3120,0.3120,148500"
"Apr 9, 2025,0.2950,0.3280,0.2950,0.3270,0.3270,267600"
"Apr 8, 2025,0.2960,0.4160,0.2900,0.3000,0.3000,770800"
"Apr 7, 2025,0.3200,0.3200,0.2700,0.2970,0.2970,514600"
"Apr 4, 2025,0.3740,0.4000,0.3050,0.3300,0.3300,950700"
"Apr 3, 2025,0.3900,0.3960,0.3660,0.3760,0.3760,183200"
"Apr 2, 2025,0.3900,0.4100,0.3860,0.3960,0.3960,235300"
"Apr 1, 2025,0.3990,0.4400,0.3800,0.3900,0.3900,481300"
"Mar 31, 2025,0.4000,0.5800,0.3710,0.4010,0.4010,7868300"
"Mar 28, 2025,0.4270,0.4370,0.4110,0.4110,0.4110,78500"
"Mar 27, 2025,0.4160,0.4400,0.4100,0.4310,0.4310,196000"
"Mar 26, 2025,0.4420,0.4510,0.4110,0.4280,0.4280,57200"
"Mar 25, 2025,0.4600,0.4600,0.4280,0.4420,0.4420,106200"
"Mar 24, 2025,0.4800,0.4800,0.4400,0.4530,0.4530,295500"
"Mar 21, 2025,0.4200,0.4790,0.4200,0.4600,0.4600,350500"
"Mar 20, 2025,0.4100,0.4400,0.4100,0.4300,0.4300,108200"
"Mar 19, 2025,0.4180,0.4440,0.3800,0.4210,0.4210,370300"
"Mar 18, 2025,0.4480,0.4480,0.4110,0.4300,0.4300,37700"
"Mar 17, 2025,0.4150,0.4540,0.4150,0.4300,0.4300,238900"
"Mar 14, 2025,0.4000,0.4190,0.3900,0.4150,0.4150,193900"
"Mar 13, 2025,0.3800,0.4000,0.3800,0.3870,0.3870,98400"
"Mar 12, 2025,0.3940,0.3950,0.3800,0.3830,0.3830,95000"
"Mar 11, 2025,0.3900,0.3940,0.3850,0.3880,0.3880,86600"
"Mar 10, 2025,0.4000,0.4100,0.3940,0.3970,0.3970,130500"
"Mar 7, 2025,0.3900,0.4040,0.3870,0.4040,0.4040,125600"
"Mar 6, 2025,0.4000,0.4100,0.3860,0.3940,0.3940,155000"
"Mar 5, 2025,0.3900,0.4100,0.3900,0.3970,0.3970,63400"
"Mar 4, 2025,0.4000,0.4040,0.3830,0.3900,0.3900,133000"
"Mar 3, 2025,0.4380,0.4380,0.3830,0.3950,0.3950,191900"
"Feb 28, 2025,0.4460,0.4470,0.4100,0.4180,0.4180,361000"
"Feb 27, 2025,0.4320,0.4500,0.4300,0.4380,0.4380,291100"
"Feb 26, 2025,0.4350,0.4380,0.4130,0.4250,0.4250,277000"
"Feb 25, 2025,0.4610,0.4610,0.4300,0.4350,0.4350,223500"
"Feb 24, 2025,0.4730,0.4830,0.4310,0.4400,0.4400,539700"
"Feb 21, 2025,0.5000,0.5100,0.4700,0.4800,0.4800,151900"
"Feb 20, 2025,0.5300,0.5430,0.4760,0.4880,0.4880,357300"
"Feb 19, 2025,0.5450,0.5500,0.5240,0.5330,0.5330,231000"
"Feb 18, 2025,0.4800,0.5610,0.4800,0.5340,0.5340,482900"
"Feb 14, 2025,0.4700,0.4900,0.4670,0.4810,0.4810,162100"
"Feb 13, 2025,0.4500,0.4800,0.4500,0.4800,0.4800,193800"
"Feb 12, 2025,0.4790,0.4900,0.4430,0.4500,0.4500,242000"
"Feb 11, 2025,0.4770,0.4990,0.4660,0.4700,0.4700,132400"
"Feb 10, 2025,0.4420,0.4880,0.4420,0.4750,0.4750,236900"
"Feb 7, 2025,0.4800,0.4990,0.4410,0.4420,0.4420,284100"
"Feb 6, 2025,0.5000,0.5200,0.4660,0.4800,0.4800,259500"
"Feb 5, 2025,0.5200,0.5400,0.5000,0.5100,0.5100,148900"
"Feb 4, 2025,0.5200,0.5500,0.5200,0.5280,0.5280,102800"
"Feb 3, 2025,0.5100,0.5400,0.5090,0.5310,0.5310,88500"
